id,far_part,flt_plan_filed,acft_make,acft_model,total_seats,num_eng,fixed_retractable,cert_max_gr_wt,acft_category,homebuilt,type_last_insp,afm_hrs_last_insp,afm_hrs,elt_install,elt_type,oper_dba,certs_held,type_fly,second_pilot,dprt_apt_id,dprt_time,dest_apt_id,site_seeing,air_medical,flight_hours_mean,crew_category,crew_sex,pc_profession,crew_tox_perf,mr_faa_med_certf,available_restraint,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,carb_fuel_injection,propeller_type,subcategory_no
20100722X707421,091,NONE,AIRBORNE,OUTBACK,2.0,1.0,FIXD,884.0,WSFT,N,ANNL,,96.0,N,,,Y,PERS,N,18V ,1400.0,FTG ,N,N,48.0,DSTU,M,No,N,,,1,REC,ROTAX,582,65.0,HP,CARB,,6
20081229X714331,091,NONE,POWRACHUTE,PEGASUS,2.0,1.0,FIXD,,PPAR,N,COND,,90.0,N,,,Y,PERS,N,2kl ,1230.0,2kl ,N,N,8.0,PLT,M,No,N,,,1,REC,ROTAX,582,65.0,HP,CARB,,4
20120913X540481,091,NONE,POWRACHUTE,PEGASUS,2.0,1.0,FIXD,855.0,PPAR,N,COND,,208.0,N,,,Y,PERS,N,,30.0,,N,N,70.0,PLT,M,No,N,,,1,REC,ROTAX,582,65.0,HP,CARB,,4
20110323X659531,091,NONE,Darrow Stephen A,Aventura,2.0,1.0,FIXD,,AIR,Y,UNK,,,N,UNK,,Y,PERS,N,T13 ,1400.0,,N,N,5800.0,PLT,M,Yes,N,,,1,REC,Rotax,582,65.0,HP,CARB,,6
20090830X542371,091,NONE,MYERS DONALD E,KITFOX 4,2.0,1.0,FIXD,1050.0,AIR,Y,COND,,50.0,Y,C91A,,Y,PERS,N,W35 ,1245.0,CBE ,N,N,1397.0,PLT,M,No,N,,,1,REC,Rotax,582 DCDI,65.0,HP,CARB,,6
20141203X553181,091,,HUGHES AERO CORP,PREDATOR,2.0,1.0,FIXD,1150.0,AIR,N,,,,N,,,Y,PERS,N,,2230.0,,N,N,300.0,PLT,M,No,N,,U,1,REC,ROTAX,912,65.0,HP,CARB,,6
20110705X203451,091,NONE,SKYTRAILS LSA,Predator,2.0,1.0,FIXD,1150.0,PPAR,N,COND,38.0,38.0,N,,,Y,PERS,N,,1225.0,,N,N,34.0,PLT,M,No,N,,,1,REC,Rotax,582,65.0,HP,CARB,,4
20090319X434111,091,NONE,Wayne O Robinson,S6S Rans,2.0,1.0,FIXD,1200.0,AIR,Y,COND,63.0,103.0,Y,C91,,Y,PERS,N,VPC ,1508.0,VPC ,N,N,1500.0,PLT,M,No,N,,,1,REC,Rotax,582 DCDI,65.0,HP,CARB,,4
20100412X718301,091,NONE,QUICKSILVER,SPORT 2S,2.0,1.0,FIXD,1000.0,AIR,N,UNK,,,Y,UNK,,Y,PERS,N,1TA7,2300.0,,N,N,281.0,PLT,M,No,N,,,1,REC,ROTAX,582UL DCDI,65.0,HP,CARB,,6
20160914X935111,091,NONE,QUICKSILVER MANUFACTURING INC,SPORT 2S,2.0,1.0,FIXD,,AIR,N,UNK,,,N,,,Y,PERS,N,,2250.0,,N,N,3000.0,PLT,M,No,N,,3,1,REC,ROTAX,582,65.0,HP,CARB,FIXP,6
